"study","wave","version","versn_s","doi_gesis","doi_wvsa","studytit","uniqid","intrvwr_id","cntry","cntry_an","cntrycow","year","fw_start","fw_end","cntry_y","mode","mm_mixed_mode_evs5","mm_mode_fu_evs5","mm_matrix_group_evs5","mm_fw_start_fu_evs5","mm_fw_end_fu_evs5","mm_year_fu_evs5","ivlength","ivstart","ivstend","ivdate","mm_v277_fu_evs5","mm_v278a_fu_r_evs5","mm_v279a_fu_r_evs5","lnge_num","lnge_iso","gwght","pwght","wght_eq1000","reg_nuts1","reg_nuts2","reg_iso","size_5c","respint","a001","a002","a003","a004","a005","a006","a008","a009","a170","a173","a027","a029","a030","a032","a034","a035","a038","a039","a040","a041","a042","a065","a066","a067","a068","a071","a072","a074","a078","a079","a080_01","a080_02","a124_02","a124_03","a124_06","a124_08","a124_09","a165","b008","c001","c001_01","c002","c002_01","d081","d026_03","d026_05","c038","c039","c041","d001_b","g007_18_b","g007_33_b","g007_34_b","g007_35_b","g007_36_b","d054","d059","d060","d061","d078","e001","e002","e003","e004","y002","e012","e015","e018","e023","e025","e026","e027","e028","e033","e035","e036","e037","e039","e069_01","e069_02","e069_04","e069_05","e069_06","e069_07","e069_08","e069_18a","e069_18","e069_11","e069_12","e069_13","e069_14","e069_17","e069_20","e111_01","e114","e115","e116","e117","e179_wvs7","e181_evs5","e224","e225","e226","e227","e228","e229","e233","e233a","e233b","e235","e236","e263","e264","e265_01","e265_02","e265_03","e265_04","e265_05","e265_06","e265_07","e265_08","f025","f028","f028b_wvs7","f066_evs5","f034","f050","f051","f053","f054","f063","f114a","f115","f116","f117","f118","f119","f120","f121","f122","f123","f132","e290","f144_02","g005","g006","g052","g062","g063","g255","g256","g257","h009","h010","h011","x001","x002","x003","x003r","x003r2","g027a","x002_02a","x002_02b","v002","v002a","v002a_01","v001","v001a","v001a_01","x007","x026_01","x011","x013","x025a_01","x025r","w002a_01","w002r","v004am_01","v004rm","v004af_01","v004rf","x028","w003","x052","x035_evs5","x036e_wvs7","v097ef","w005_evs5","w006e_wvs7","x047_wvs7","x047e_evs5"
2,7,"4-0-0 (2022-12-14)","5-0-0 (2022-12-14)","doi:10.4232/1.14023","doi:10.14281/18241.21","WVS7",840720001,-3,840,"US",2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,43,11.16,11.59,20170511,-4,-4,-4,128,"en",0.837964146,125231.12481,0.385208,"-4","-4",840036,4,2,1,1,2,3,1,2,2,2,8,7,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,3,-4,1,-4,1,3,1,1,2,3,1,2,1,2,2,2,1,2,2,3,2,2,1,1,3,1,1,2,1,3,2,3,2,3,6,5,5,6,5,2,1,3,3,1,3,3,3,-4,2,2,3,3,2,2,5,2,2,2,2,840001,-4,5,5,5,5,5,5,5,5,5,5,5,2,1,2,2,2,2,3,2,2,3,2,3,3,-4,1,1,1,1,1,5,5,5,5,5,5,5,2,5,5,2,5,5,5,1,2,3,2,3,1,2,2,2,2,4,2,1992,25,2,1,1,840,"US",1,840,"US",1,840,"US",1,1,2,4,3,2,4,2,4,2,4,2,1,1,2,-4,1,6,-4,1,5,-4
2,7,"4-0-0 (2022-12-14)","5-0-0 (2022-12-14)","doi:10.4232/1.14023","doi:10.14281/18241.21","WVS7",840720002,-3,840,"US",2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,35,15.07,15.43,20170504,-4,-4,-4,128,"en",1.1390695,125231.12481,0.385208,"-4","-4",840043,5,1,1,1,1,1,1,1,2,1,10,10,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,2,2,3,-4,3,-4,3,3,3,2,2,2,1,2,2,3,2,3,1,3,3,3,3,2,3,2,4,3,1,1,1,1,3,3,2,-2,7,8,10,1,10,2,1,4,3,3,3,3,3,-4,3,3,3,2,3,3,8,2,3,1,1,840002,-4,9,10,10,8,5,6,10,7,10,8,7,1,2,2,3,3,4,3,3,4,4,2,7,1,-4,1,1,1,-2,1,5,5,7,9,3,5,10,9,7,8,7,1,5,10,1,1,3,3,2,1,1,1,4,4,3,1,1944,73,6,3,1,840,"US",1,840,"US",1,840,"US",5,1,2,1,3,2,-3,-3,2,1,2,1,4,-3,2,-4,-3,6,-4,-3,1,-4
2,7,"4-0-0 (2022-12-14)","5-0-0 (2022-12-14)","doi:10.4232/1.14023","doi:10.14281/18241.21","WVS7",840720003,-3,840,"US",2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,33,14.44,15.17,20170506,-4,-4,-4,128,"en",0.36310347,125231.12481,0.385208,"-4","-4",840009,3,2,1,1,2,3,2,4,1,1,9,9,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,-4,2,-4,2,4,3,3,3,4,1,2,2,2,2,2,1,3,3,3,3,3,2,1,4,2,1,2,2,3,1,2,1,2,3,5,4,4,3,3,3,3,3,3,3,2,3,-4,3,3,3,2,3,2,4,4,3,4,2,840002,-4,5,1,10,6,6,7,9,3,-2,8,7,2,1,1,3,2,3,2,1,3,3,0,8,8,-4,2,0,0,0,0,2,2,2,7,4,10,10,9,9,6,4,8,3,5,1,1,3,2,2,2,2,2,2,2,3,1,1974,43,3,2,1,840,"US",1,840,"US",1,840,"US",1,1,2,4,6,3,6,3,6,3,3,2,1,1,2,-4,5,6,-4,4,7,-4
2,7,"4-0-0 (2022-12-14)","5-0-0 (2022-12-14)","doi:10.4232/1.14023","doi:10.14281/18241.21","WVS7",840720004,-3,840,"US",2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,42,11.34,12.17,20170515,-4,-4,-4,128,"en",1.239438551,125231.12481,0.385208,"-4","-4",840009,4,1,1,2,1,1,4,3,2,2,7,9,1,1,1,1,0,1,0,0,0,0,0,0,0,-2,1,0,0,0,0,0,0,0,1,1,1,1,0,1,2,3,-4,1,-4,2,3,2,2,2,3,1,2,1,2,2,2,2,2,3,3,2,2,1,1,4,2,1,2,1,1,1,1,2,3,9,5,3,3,1,2,1,3,3,2,3,2,3,-4,1,3,2,2,2,3,7,3,2,4,1,840001,-4,6,1,10,6,1,6,10,1,3,10,9,1,1,2,1,4,2,4,3,2,2,1,7,8,-4,1,1,0,0,1,6,1,1,2,1,1,1,2,5,1,1,2,1,10,1,1,3,2,3,2,2,1,1,4,2,1,1946,71,6,3,1,840,"US",1,840,"US",1,840,"US",3,1,1,2,4,2,-3,-3,3,2,2,1,4,-3,2,-4,-3,5,-4,-3,6,-4
2,7,"4-0-0 (2022-12-14)","5-0-0 (2022-12-14)","doi:10.4232/1.14023","doi:10.14281/18241.21","WVS7",840720005,-3,840,"US",2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,63,12.48,13.52,20170501,-4,-4,-4,128,"en",1.63487824,125231.12481,0.385208,"-4","-4",840009,4,1,1,2,2,2,3,2,2,2,7,8,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,3,3,-4,3,-4,3,2,2,3,1,3,2,2,1,3,2,2,2,2,1,3,3,2,1,4,2,3,1,3,2,1,1,1,2,3,7,7,4,6,2,2,1,4,4,2,3,3,3,-4,1,3,2,3,2,4,9,2,3,4,1,840001,-4,4,2,10,4,1,10,9,1,5,9,8,2,1,1,4,2,3,3,1,2,3,2,7,3,-4,1,1,1,1,1,9,1,1,1,1,6,6,6,7,2,3,7,7,8,1,1,3,2,3,2,2,1,3,4,3,1,1963,54,4,3,1,840,"US",1,840,"US",1,840,"US",6,1,0,1,4,2,-3,-3,4,2,4,2,2,-3,1,-4,5,4,-4,-3,3,-4
2,7,"4-0-0 (2022-12-14)","5-0-0 (2022-12-14)","doi:10.4232/1.14023","doi:10.14281/18241.21","WVS7",840720006,-3,840,"US",2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,27,10.13,10.4,20170505,-4,-4,-4,128,"en",3.237276659,125231.12481,0.385208,"-4","-4",840032,-5,1,1,1,2,2,4,1,2,1,10,10,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,2,-4,1,-4,3,4,2,4,2,5,1,2,2,2,2,2,1,4,3,3,4,2,1,1,3,1,1,2,1,2,2,3,3,3,5,5,5,1,8,2,2,3,3,3,3,3,3,-4,3,3,3,3,3,3,1,3,3,4,2,840002,-4,5,5,10,10,5,5,10,5,10,1,10,1,1,2,3,2,3,3,2,2,3,1,2,2,-4,2,1,1,1,1,10,10,1,1,1,10,1,10,10,10,10,5,10,10,1,1,2,2,2,2,2,2,2,2,2,2,1943,74,6,3,1,840,"US",1,840,"US",1,840,"US",3,1,0,1,3,2,-3,-3,3,2,3,2,4,-3,2,-4,-3,6,-4,-3,1,-4
2,7,"4-0-0 (2022-12-14)","5-0-0 (2022-12-14)","doi:10.4232/1.14023","doi:10.14281/18241.21","WVS7",840720007,-3,840,"US",2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,31,11.33,12.05,20170503,-4,-4,-4,128,"en",1.475906152,125231.12481,0.385208,"-4","-4",840038,5,2,1,1,2,2,4,1,2,1,8,10,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,2,2,-4,2,-4,3,4,3,4,3,3,2,2,2,3,2,2,2,3,3,3,3,2,1,3,2,2,1,2,1,2,1,3,2,3,6,10,8,3,6,2,2,2,3,2,3,2,3,-4,3,3,3,2,2,2,6,3,3,3,2,840002,-4,5,3,6,5,5,5,5,3,5,6,6,1,1,2,3,3,3,2,2,3,3,2,2,2,-4,1,1,1,1,1,10,1,1,1,1,6,1,1,6,1,1,2,2,6,1,1,3,2,3,2,2,2,2,3,3,2,1948,69,6,3,1,840,"US",-2,840,"US",-2,840,"US",4,1,2,1,3,2,-3,-3,-2,-2,-2,-2,4,-3,2,-4,-3,8,-4,-3,6,-4
2,7,"4-0-0 (2022-12-14)","5-0-0 (2022-12-14)","doi:10.4232/1.14023","doi:10.14281/18241.21","WVS7",840720008,-3,840,"US",2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,41,15.56,16.37,20170501,-4,-4,-4,128,"en",0.532800476,125231.12481,0.385208,"-4","-4",840042,3,1,1,2,2,3,1,2,1,2,10,10,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,2,1,2,-4,2,-4,1,2,3,4,3,4,1,2,2,4,3,3,1,3,4,4,3,2,1,2,1,2,0,3,1,3,2,3,2,3,5,1,1,1,5,2,1,3,4,2,3,3,2,-4,2,3,3,2,3,2,8,2,1,2,2,840001,-4,6,1,10,7,4,5,10,8,7,5,3,2,3,2,3,3,3,4,3,1,4,0,8,3,-4,2,1,1,1,1,10,1,5,1,1,10,1,4,7,1,1,10,5,4,1,1,2,1,3,2,1,1,2,4,2,2,1990,27,2,1,1,840,"US",1,840,"US",1,840,"US",1,1,2,4,4,2,3,2,3,2,3,2,2,1,2,-4,4,-1,-4,8,5,-4
2,7,"4-0-0 (2022-12-14)","5-0-0 (2022-12-14)","doi:10.4232/1.14023","doi:10.14281/18241.21","WVS7",840720009,-3,840,"US",2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,57,7.49,8.47,20170502,-4,-4,-4,128,"en",0.186400954,125231.12481,0.385208,"-4","-4",840023,3,2,1,1,2,3,1,4,3,4,4,6,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,2,-4,3,-4,2,4,3,2,2,2,2,2,2,3,2,2,2,3,3,3,3,1,2,1,2,2,1,3,1,4,2,2,2,2,6,5,5,6,2,3,2,3,2,2,3,2,3,-4,3,4,3,3,2,3,5,4,2,4,-2,840002,-4,6,3,8,8,6,7,8,6,7,8,6,2,1,2,3,1,2,2,2,1,3,0,8,8,-4,2,0,1,1,1,1,2,4,2,2,10,1,10,9,1,2,5,1,8,1,3,3,4,4,2,3,4,2,4,4,2,1989,28,2,1,1,840,"US",1,840,"US",1,840,"US",2,1,2,4,5,3,2,1,5,3,5,3,1,2,1,-4,3,6,-4,6,4,-4
2,7,"4-0-0 (2022-12-14)","5-0-0 (2022-12-14)","doi:10.4232/1.14023","doi:10.14281/18241.21","WVS7",840720010,-3,840,"US",2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,156,18.35,21.11,20170505,-4,-4,-4,128,"en",2.168841978,125231.12481,0.385208,"-4","-4",840035,3,3,1,1,2,3,1,2,1,2,10,10,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,2,2,-4,1,-4,3,4,5,3,3,4,1,1,1,2,1,2,2,3,3,3,4,1,2,3,2,2,1,2,2,3,1,3,3,3,-2,2,7,10,4,2,1,2,1,1,3,3,3,-4,3,3,3,2,2,3,4,-2,-2,-2,-2,-2,-4,-2,-2,-2,-2,-2,-2,-2,-2,8,-2,-2,3,3,-2,-2,2,-2,2,-2,-2,-2,2,7,2,-4,2,1,1,1,0,10,-2,10,1,1,6,1,1,5,1,1,1,1,7,1,1,1,3,2,2,2,1,2,3,4,2,1951,66,6,3,1,840,"US",1,840,"US",1,840,"US",1,1,3,2,3,2,3,2,3,2,3,2,2,4,-2,-4,3,4,-4,-3,-2,-4
